symbol,Revenue,Revenue Growth,Preferred Dividends,Dividend per Share,Gross Margin,EBITDA Margin,EBIT Margin,EBITDA,EBIT,Total assets,Retained earnings (deficit),Total shareholders equity,Other Assets,Other Liabilities,Investment purchases and sales,Issuance (buybacks) of shares,priceToSalesRatio,priceEarningsRatio,priceToOperatingCashFlowsRatio,priceFairValue,netProfitMargin,returnOnEquity,nIperEBT,eBTperEBIT,fixedAssetTurnover,currentRatio,debtRatio,totalDebtToCapitalization,cashPerShare,payoutRatio,operatingCashFlowSalesRatio,capitalExpenditureCoverageRatios,dividendPayoutRatio,Revenue per Share,Net Income per Share,Operating Cash Flow per Share,Free Cash Flow per Share,Market Cap,PE ratio,POCF ratio,PFCF ratio,PTB ratio,Enterprise Value over EBITDA,EV to Free cash flow,Earnings Yield,Net Debt to EBITDA,Interest Coverage,Income Quality,Dividend Yield,Payout Ratio,R&D to Revenue,Receivables Turnover,Gross Profit Growth,EPS Growth,Weighted Average Shares Diluted Growth,Dividends per Share Growth,Operating Cash Flow growth,10Y Net Income Growth (per Share),3Y Shareholders Equity Growth (per Share),Receivables growth,sector
CRC,38000000.0,,,,0.736842105263158,-0.0263157894736842,,-1000000.0,,,0.0,3074000000.0,0.0,1182000000.0,56000000.0,0.0,-0.978899773926,-3.41919191919,0.00609756097561,0,-1.01775147929,-1.13908758544,-2.24674261038,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy
DAKT,608932000.0,0.0688568098521,0.0,0.198472945538,0.227775843608153,0.0288225943126655,-0.000274250655246,17551000.0,-167000.0,19526000.0,-5636000.0,372651000.0,85090000.0,176980000.0,0.0,0.0,0.0645156338742,1.50844277674,-0.00389529448426,-0.280773356612,-0.634197522507,-1.06410678772,-0.116386118224,0.0929341574217,13.60711492480615,0.010971821858729414,0.2415141561082434,-0.1627449665929253,1.9198179E8,391.0016089613035,17.762933937823835,-26.360262254565427,1.0847654537235847,8.50877294414819,-20.81337223671564,0.002557534232804059,-2.2676396295256804,-1.5754716981132075,22.0122199592668,0.04684819325832934,18.317718940936864,0.1660201795931237,5.431509842923531,0.3152762377408315,391.0016089613035,17.762933937823835,1.0847654537235847,8.063297708118477E-4,0.002774324782461295,-54.55555555555556,0.05389221556886228,7.748705223643189,1.7264549720823485,0.5250784245849334,,0.930213849969833,18.317718940936864,0.01774910827481558,-0.5974241335470676,18.317718940936864,Technology
DHIL,126387718.0,-0.0749255879514,,,0.494831111674949,0.36816071795837,,46530993.0,,,-18646982.0,263097341.0,118017925.0,184080753.0,140072879.0,0.0,-0.0676795652177,-0.278827780417,-0.0687003467472,0.291079960144,0.0492614898265,1.72250626485,0.157347947805,-0.142843258792,39.484353585505836,12.077808292957387,18.673317073612672,17.907789451717097,4.74477843306172E8,12.272921742468245,7.938064534311598,8.277403327733838,2.577552707567271,8.080627922687402,6.559422586496048,0.08148019037224684,-2.116400180842906,,1.5460849038729279,0.08003896185199592,0.9823119151579472,0.08705412340778239,6.997281867605427,3.7541451876373935,12.272921742468245,7.938064534311598,2.577552707567271,0.3058884645737492,0.2100194853070815,0.7417174865164147,,18.750785265435443,3.2832637814151484,0.30033214208728926,,30.765237396191203,0.9823119151579472,0.47292953734634247,-24.392741084083102,0.9823119151579471,Financial Services
DXPE,1005266000.0,-0.206696080853,,,0.277806073218432,0.0431816056645704,,43409000.0,,,0.0,851861000.0,0.0,347068000.0,0.0,0.0,-0.195709397968,-1.79916531885,-0.037109375,-0.00810840658102,1.60670104341,-1.45631101557,0.263575680322,-0.14982749006,57.10410965814084,-1.631779702128346,6.116475646684873,5.737472855742858,4.0823891108409196E8,-14.211477793082643,3.7913992206556024,4.041849361742641,1.1762505073475285,14.082907025826255,6.052542113443085,-0.07036565898071095,4.678430740169089,0.0,-3.7483464457286084,2.204591418319288E-4,-0.0031330501984265127,0.24496600899662377,5.360846843003413,0.4061003864490513,-14.211477793082643,3.7913992206556024,1.1762505073475285,-0.028575521304808876,-0.08276764207590444,0.6045669788487846,,8.968622587811254,2.8207702287375382,0.5916399506492256,0.48005339269850356,6.666234191459576,-0.0031330501984265127,0.10711095371772247,-16.13833932853717,-0.0031330501984265127,Industrials
EQC,62134000.0,,,,1.0,1.72456304116909,,107154000.0,,,-26897000.0,3277671000.0,0.0,3236678000.0,290446000.0,13919000.0,-0.236983004224,-0.0639321854851,-0.023800095042,-1.0,-0.663166405579,0.775720899912,0.000917539512887,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Real Estate
EQT,3059000000.0,-0.307291666667,,,-0.0741304347826087,0.196443230332515,,600889000.0,,,0.0,18113469000.0,1048259000.0,9255240000.0,0.0,0.0,-1.63955292074,0.20861966545,0.0214469646196,-0.755241178508,-0.169575158881,-3.35441769148,-0.500399258332,-0.376690701937,11.989448971353095,-3.790711802493523,6.026867496795889,1.9419458260334481,4.161349454859E9,-4.302621736970696,2.706214963025322,8.398791964920177,0.44962091257050063,15.091981139376825,18.303036419680307,-0.23241643377743448,8.16665973249635,0.0,-1.5899039048105497,0.0018417102632539378,-0.007924182611878416,0.0,5.399327863991302,1.3603626854720499,-4.302621736970696,2.706214963025322,0.44962091257050063,-0.3161706440013076,-0.10449928905139143,0.7639336700278192,,0.19054126738284188,0.689652237561067,0.48862749592582183,0.3473357391373885,0.07137230002234059,-0.007924182611878416,0.5026809414841451,-1.4753936507357774,-0.007924182611878416,Energy
FAF,7080949000.0,0.142231327303,,,0.0,0.0,,0.0,,,-138603000.0,12795988000.0,2655495000.0,4909972000.0,10392667000.0,1448999000.0,0,-0.0127795527157,-0.00558708371827,0.057373813803,0.187900631811,4.03197950669,0.397439395619,0.821337452293,62.89480743267249,6.185861223619697,9.634219782562353,8.62089639735664,5.887017472584E9,8.453148092029481,5.427528350001245,6.065494652740901,1.1989920660614763,6.6247321961447385,7.318715681512505,0.1182991223048494,1.1343866956276014,0.0,1.5574581184873117,0.033745950462212654,0.2852595167633743,0.2741831638668772,6.242301972320688,0.8313882041212272,8.453148092029481,5.427528350001245,1.1989920660614763,0.09835249484214616,0.14183970906555068,0.7543069741245789,,9.957810137885936,0.3561415921019167,0.6153756943191881,0.3407344260375671,11.736321324522134,0.2852595167633743,0.15317989156538198,-9.507547070579573,0.2852595167633743,Financial Services
FTNT,2594400000.0,0.203227900937,,,0.780296022201665,0.216003700277521,,560400000.0,,,-1080100000.0,4044500000.0,-352100000.0,856000000.0,732000000.0,0.0,0.226686057081,0.495667615811,-0.0737142857143,0,0.341212871287,9.28216547139,0.561824841703,0.322799926511,15.171929824561403,2.8567251461988303,6.337426900584795,5.601169590643275,2.475225E10,50.66990788126919,22.84050013841469,25.84281687199833,28.916179906542055,42.27417915774447,24.734234704531218,0.019735579593774304,-1.8947180585296217,,2.2184237461617196,,-0.0,0.04606074622263336,3.6033333333333335,9.540645235892692,50.66990788126919,22.84050013841469,28.916179906542055,0.18829016342892382,0.570677570093458,0.901790659036367,,5.791071428571429,1.4978955998906804,0.7883545555692917,,10.744444444444444,-0.0,0.4177073697193956,-8.607625099285148,,Technology
FUNC,67273000.0,0.0648337211327,,,1.0,3.94491978609626,,22131000.0,,,-2754000.0,1733414000.0,129691000.0,131047000.0,1575737000.0,1452278000.0,0,0.0722710701265,-0.014911627559,0.184381049092,-0.0134838316046,-2.20202891458,0.196603540876,0.221253813111,9.604940034266134,1.97615648201028,2.3085379782981152,2.079525985151342,1.0947252E8,7.909292681164656,6.770518894180222,7.516135942327497,0.8353683792837685,,4.186029522828699,0.12643355611070248,,0.0,1.1681959395997399,0.0333051618798946,0.2634202731016545,0.4039659298678519,3.429321506856298,1.627287619104247,7.909292681164656,6.770518894180222,0.8353683792837685,0.20574376049826826,0.10561859485528093,0.7781088374184844,,1.713045249675333,2.9835842148087877,0.9243994798703599,,53.728869217589946,0.2634202731016545,0.24034902561205834,-10.080423940149625,0.26342027310165445,Financial Services
HBCP,106527000.0,0.0573819307963,,,0.0,0.301961005191172,,32167000.0,,,-14013000.0,2591850000.0,154282000.0,321842000.0,2340786000.0,2270008000.0,0,-0.113382483852,-0.0708987399368,0.0695111567269,0.11589057308,3.70766751109,-0.0291795394691,-0.0354335412037,11.746497426184257,2.7307819497353076,5.406430001838165,5.169685045404418,2.5537828096E8,10.312064646073088,5.208612705690393,5.447140348527185,0.7934896034700257,,2.1636900573768747,0.0969737908286686,,0.0,1.9798102160306885,0.03094624950207825,0.319119725418938,0.4438311414007716,2.638766410701016,2.3973103622555785,10.312064646073088,5.208612705690393,0.7934896034700257,0.2324762736207722,0.07694769483162546,0.8038757425260493,,2.3414071257445546,,0.875825375696896,,48.854477495500795,0.319119725418938,0.46025890149915044,-22.836516068933395,0.319119725418938,Financial Services
HY,2812100000.0,-0.145725742755,,,0.165499093204367,0.0326802034067067,,91900000.0,,,0.0,1859000000.0,443000000.0,616000000.0,218000000.0,190000000.0,-0.141011443337,0.0366965427148,0.00502212124836,-1.33019897241,1.16427640156,0.142335877706,0.0662228067248,-0.120222079863,167.35701957983693,2.207939058501458,9.879188240195203,6.844015949532822,1.507397113197E9,40.630649951401615,9.080705501186747,13.10780098432174,2.4470732357094156,17.893330937943418,14.299105332147827,0.024611961688924534,1.4907508161044614,0.0,4.474393530997305,-0.004643766356400856,-0.18867924528301888,0.14775434728494719,6.825485436893204,0.5360396547765015,40.630649951401615,9.080705501186747,2.4470732357094156,0.013192987447103588,0.060227272727272727,0.8791469194312796,,8.270882352941177,1.495364238410596,0.6498117267348037,0.3185840707964602,13.747545081235494,-0.18867924528301888,0.05903061768784894,-3.2549019607843137,-0.18867924528301888,Industrials
IAG,1241700000.0,,,,0.201578481114601,0.119916243859225,,148900000.0,,,0.0,4154300000.0,-307900000.0,2458200000.0,0.0,0.0,2.59626436782,1.10208479844,0.0213675213675,0,-0.0424242424242,-0.879738625952,-0.128932274728,0.546692607004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Basic Materials
IBA,68791300000.0,,,,0.161061064407854,0.0936848118875497,,6444700000.0,,,0.0,58011200000.0,40828800000.0,43345000000.0,0.0,0.0,19.7483146067,20400.5076259,0.0,-0.9990575,-0.998385392941,23075.0181268,0,-0.998877120123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Consumer Defensive
IHC,443864000.0,0.185382215955,,,0.0,0.0,,34471000.0,,,-7534000.0,1083156000.0,399273000.0,469764000.0,936167000.0,549668000.0,0,0.53887060342,-0.0204326923077,0.208339226704,0.312656353704,-0.00557940671369,0.166331002197,-0.00726080577987,30.256578050443082,1.287048398091343,3.505248807089298,3.505248807089298,5.649416706600001E8,29.921173171971823,10.986380744817394,10.986380744817396,1.2026074170434515,14.304130157523717,9.58884661545642,0.03342114943998031,-2.0847669055147806,,2.7234786293098883,0.01101352639243459,0.3295376304221175,0.4636487753005425,1.148755004697363,1.272781010985347,29.921173171971823,10.986380744817394,1.2026074170434515,0.0425378043725105,0.04019252220263792,0.6325293132328308,,,1.1320153261518169,0.5662619234902452,,32.813360599863664,0.3295376304221175,0.11585080114629706,,0.3295376304221175,Financial Services
IID,1749080.0,,,,0.65625357330711,-3.011389,,-5267160.0,,,0.0,45664680.0,-8288840.0,45505500.0,45664680.0,159180.0,0.135935397039,0.263641863279,9.25943512697e-05,0.442168447853,-0.263574047276,-1.05902420935,-0.203564049006,3.4466282005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Financial Services
ISBC,816204000.0,0.152039701561,,,1.0,1.01587429426625,,996465000.0,,,-23920000.0,26023159000.0,1339003000.0,2710003000.0,25743094000.0,19306866000.0,0,0.126762290891,-0.0981351813373,0.0852750273687,0.396149488964,3.2232343705,0.0630887947715,0.00494244323125,3.1128753346677365,0.8450717181681014,0.8554339343350061,0.7797634407878751,3.01795190298E9,13.620145784727864,13.455159467045926,14.760886953574364,1.113634155748167,,30.611226390910513,0.07342065318576034,,0.0,1.012261936997924,0.03965437616213498,0.5400983843307158,0.3590781226262062,10.240311147355875,3.697546082817531,13.620145784727864,13.455159467045926,1.113634155748167,0.2714762485849126,0.08176374712500319,0.747215393486904,,2.4031162040253915,0.04254110411378108,0.8958618744173219,0.5572709426949133,11.170251638772855,0.5400983843307158,0.27480507324149356,-11.304722544226601,0.5400983843307158,Financial Services
